time_s,velocity_um_per_s,velocity_smooth_um_per_s
9.46666666666667,3.64340585853363,3.65872040316192
9.5,3.68787286250479,3.63143173997481
9.53333333333333,3.76139684824702,3.59976946524354
9.56666666666667,3.68794065163681,3.56911791651864
9.6,3.52282024803996,3.54017432046879
9.63333333333333,3.36581899394628,3.51059083025519
9.66666666666667,3.25638699327976,3.48276397930628
9.7,3.31785510533376,3.46484896290122
9.73333333333333,3.49002238531363,3.46050578689101
9.76666666666667,3.59502173150549,3.46554083546583
9.8,3.52012872633903,3.46843982376735
9.83333333333333,3.35783970731159,3.46257453345375
9.86666666666667,3.29027449462857,3.45578057560774
9.9,3.26120855665608,3.45354816718328
9.93333333333333,3.27580619848092,3.45570822327516
9.96666666666667,3.37876549201101,3.46301115319843
10,3.33894912360328,3.46806717001676
10.0333333333333,3.16057055767048,3.46347430199349
10.0666666666667,3.14018510600915,3.45488165672028
10.1,3.27819405313264,3.45057096937521
10.1333333333333,3.41726864615506,3.45087262670169
10.1666666666667,3.48616013688323,3.45160036335463
10.2,3.49688254020598,3.45358317535118
10.2333333333333,3.48994000664851,3.45749385787712
10.2666666666667,3.46790462671696,3.45884004054915
10.3,3.46975233265963,3.45642302847295
10.3333333333333,3.47249370049804,3.4514941243376
10.3666666666667,3.41571826267958,3.44430061840524
10.4,3.34463469604712,3.43470138041161
10.4333333333333,3.29982101787319,3.42303465535171
10.4666666666667,3.32373566187115,3.41237898212962
10.5,3.47842097797245,3.40539725264521
10.5333333333333,3.61775569241545,3.40060921411749
10.5666666666667,3.60046004005048,3.39769319373128
10.6,3.45092831713423,3.39529679603442
10.6333333333333,3.292610096869,3.39285649946518
10.6666666666667,3.29311972148038,3.39408092373854
10.7,3.37877011647768,3.39611142411
10.7333333333333,3.38232168783577,3.39252140086074
10.7666666666667,3.28002572398399,3.38202153394335
10.8,3.18709115024817,3.37092028140699
10.8333333333333,3.1812988699578,3.36503558682853
10.8666666666667,3.24711025374808,3.36359677879918
10.9,3.33882089965778,3.36618385689924
10.9333333333333,3.38367219156746,3.36977939000212
10.9666666666667,3.34742064879657,3.36873456189498
11,3.21350081686692,3.36455295167043
11.0333333333333,3.0904297840284,3.36221492588236
11.0666666666667,3.11523072981823,3.36138311334266
11.1,3.24708908100796,3.36034628093851
